sound_effect_template                                                                                    count  elements      size   padding
                                                                      platform_sound_pitch_lfo_block         2         2        96         0
                                                                     platform_sound_filter_lfo_block         1         1        64         0
                                                                       platform_sound_playback_block         1        19       912       152
                                                                             sound_effect_collection         1         1         8         0
                                                                                             totals:        57       225      2748       152

shader                                                                                                   count  elements      size   padding
                                                                                  runtime properties       182       182     14560         0
                                                                 shader_postprocess_bitmap_new_block       270      1264     15168         0
                                                                                       pixel32_block       200       961      3844         0
                                                                                 real_vector4d_block       191      1689     27024         0
                                                        shader_postprocess_level_of_detail_new_block        32        52       364         0
                                                                               tag_block_index_block        56      1383      2848         0
                                                         shader_postprocess_implementation_new_block        64      1145     11560         0
                                                            shader_postprocess_bitmap_property_block        24       120       480         0
                                                             shader_postprocess_color_property_block        10        20       240         0
                                                             shader_postprocess_value_property_block         9        54       216         0
                                                             shader_postprocess_definition_new_block       353      1059    131316         0
                                                                            predicted_resource_block       270      1684     13472         0
                                                                                              shader       356       356     29904      2848
                                                                                          byte_block       170      7184      7184         0
                                                                shader_postprocess_overlay_new_block       102      1077     21540         0
                                                      shader_postprocess_overlay_reference_new_block        39       644      2576         0
                                                     shader_postprocess_animated_parameter_new_block        25        89       208         0
                                           shader_postprocess_animated_parameter_reference_new_block        55       805      3220         0
                                                                                             totals:      2408     19768    285724      2848

user_interface_list_skin_definition                                                                      count  elements      size   padding
                                                           screen_animation_keyframe_reference_block        47        94      1504       376
                                                                    single_animation_reference_block        23       129      2064         0
                                                                          text_block_reference_block        30        59      2360       236
                                                                        bitmap_block_reference_block        27       100      5400       200
                                                                 user_interface_list_skin_definition        32        32      1920         0
                                                                        player_block_reference_block         7         7       140        28
                                                                           hud_block_reference_block         5         5       180         0
                                                                                             totals:       171       426     13568       840

sound_classes                                                                                            count  elements      size   padding
                                                                                          byte_block         2       208       208         0
                                                                 sound_class_ducker_block_definition        13        19       380         0
                                                                                   sound_class_block         2       108     12636       324
                                                                                       sound_classes         2         2        16         0
                                                                                             totals:        19       337     13240       324

sound                                                                                                    count  elements      size   padding
                                                                                    cache_file_sound      2204      2204     61712         0
                                                                                             totals:      2204      2204     61712         0

sound_mix                                                                                                count  elements      size   padding
                                                                                           sound_mix         1         1        88         0
                                                                                             totals:         1         1        88         0

shader_pass                                                                                              count  elements      size   padding
                                                       shader_postprocess_compiled_pixel_shader_data      1609      1609   4613444         0
                                                                     shader_postprocess_pixel_shader       169       854     47824         0
                                                                       pixel_shader_extern_map_block         9        17        48         0
                                                                            pixel_shader_index_block         4        88        88         0
                                                    shader_pass_postprocess_implementation_new_block        90       180     59528         0
                                                           shader_pass_postprocess_texture_new_block        36       350      1400         0
                                                                                  render_state_block        44       698      3552         0
                                                         shader_pass_postprocess_texture_state_block        37       357      8568         0
                                                            shader_pass_postprocess_extern_new_block        42       292      1168         0
                                                        shader_pass_postprocess_definition_new_block        90       270     23760         0
                                                                                         shader_pass        90        90      2880       360
                                                                                             totals:      2220      4805   4762260       360

sound_dialogue_constants                                                                                 count  elements      size   padding
                                                                            sound_dialogue_constants         1         1        16        24
                                                                                             totals:         1         1        16        24

sound_scenery                                                                                            count  elements      size   padding
                                                                             object_attachment_block         9         9       198        18
                                                                                       sound_scenery         9         9      1611       225
                                                                                             totals:        18        18      1809       243

shader_template                                                                                          count  elements      size   padding
                                               shader_template_postprocess_level_of_detail_new_block        25        41       444         0
                                                          shader_template_postprocess_pass_new_block        77       341      3524         0
                                                shader_template_postprocess_implementation_new_block        59       950      5792         0
                                                     shader_template_postprocess_remapping_new_block        61      4355     17420         0
                                                    shader_template_postprocess_definition_new_block        80       240      9600         0
                                                                                     shader_template        80        80      7200       480
                                                                               tag_block_index_block         2        50       104         0
                                                                                             totals:       384      6057     44084       480

style                                                                                                    count  elements      size   padding
                                                                                behavior_names_block         3       393     12576         0
                                                                                               style        10        10       870        50
                                                                                             totals:        13       403     13446        50

liquid                                                                                                   count  elements      size   padding
                                                                                          byte_block        10       936       936         0
                                                                                                core         1         2        84        28
                                                                                                 arc         1         1       124       112
                                                                                              liquid         2         2        44       180
                                                                                             totals:        14       941      1188       320

camera_track                                                                                             count  elements      size   padding
                                                                    camera_track_control_point_block        17       225      6300         0
                                                                                        camera_track        17        17       204         0
                                                                                             totals:        34       242      6504         0

dialogue                                                                                                 count  elements      size   padding
                                                                              sound_references_block         6      1980     27720      3960
                                                                                            dialogue         6         6       144         0
                                                                                             totals:        12      1986     27864      3960

sound_cache_file_gestalt                                                                                 count  elements      size   padding
                                                                           sound_gestalt_codec_block         1         8        24         0
                                                                        sound_gestalt_playback_block         1       356     19936         0
                                                                           sound_gestalt_scale_block         1        68      1360         0
                                                                    sound_gestalt_import_names_block         1      5207     20828         0
                                                          sound_gestalt_pitch_range_parameters_block         1        36       360         0
                                                                    sound_gestalt_pitch_ranges_block         1      2267     27204         0
                                                       sound_gestalt_permutation_language_data_block      7907     71163    569304         0
                                                                    sound_gestalt_permutations_block         1      7907    126512         0
                                                                         platform_sound_filter_block         2         2       144         0
                                                                 sound_gestalt_custom_playback_block         1         2        88        16
                                                                     sound_gestalt_reflections_block         1       304      4864         0
                                                     sound_gestalt_remastered_sound_references_block         1       501      4008         0
                                                  sound_gestalt_runtime_permutation_bit_vector_block         1      1478      1480         0
                                                                       sound_permutation_chunk_block         8     68718   1099488         0
                                                                 sound_gestalt_language_chunks_block         1         9        72         0
                                                                          sound_promotion_rule_block        16        42       336       336
                                                                 sound_promotion_runtime_timer_block        16        42       168         0
                                                                      sound_gestalt_promotions_block         1        16       448         0
                                                                                     block resources       408       816     10608      2448
                                                                      sound_gestalt_extra_info_block         1        51     12342      4590
                                                                            sound_cache_file_gestalt         1         1       120         0
                                                                                             totals:      8372    158994   1899694      7390

multilingual_unicode_string_list                                                                         count  elements      size   padding
                                                                    multilingual_unicode_string_list        76        76      1216      2736
                                                                                             totals:        76        76      1216      2736

vehicle                                                                                                  count  elements      size   padding
                                                                          object_ai_properties_block        19        19       228        76
                                                                                          byte_block        38      2136      2136         0
                                                                               object_function_block        14        38      1216         0
                                                                             object_attachment_block        14        64      1408       128
                                                                                 object_widget_block         4         6        48         0
                                                                            predicted_resource_block        22       340      2720         0
                                                                                  powered_seat_block        11        13       104         0
                                                                                   unit_weapon_block        18        18       144         0
                                                                             unit_camera_track_block        66        66       528         0
                                                                            unit_hud_reference_block        28        28       224         0
                                                                                     unit_seat_block        22        73     12848         0
                                                                                          gear_block         3        10       680         0
                                                                     friction_point_definition_block         3        20       960       560
                                                                         vehicle_phantom_shape_block        22        22     16720       528
                                                                                             vehicle        22        22     16214       682
                                                             object_change_color_initial_permutation         8        10       320         0
                                                                                object_change_colors         6         8       128         0
                                                                 anti_gravity_point_definition_block         5        25      1500       400
                                                                                             totals:       325      2918     58126      2374

