block	count	size	element size	actual element size
shader_postprocess_definition_new_block	1803	223572	184	124.000000
shader_template_postprocess_definition_new_block	261	10440	60	40.000000
shader_pass_postprocess_definition_new_block	294	25872	132	88.000000
hud_widget_effect_block	15	1560	124	104.000000
hud_bitmap_widgets	237	23700	120	100.000000
hud_text_widgets	47	3948	96	84.000000
hud_screen_effect_widgets	1	80	112	80.000000
new_hud_definition	31	1240	60	40.000000
hud_dashlights_block	9	252	52	28.000000
hud_waypoint_arrow_block	4	144	60	36.000000
hud_waypoint_block	8	192	40	24.000000
new_hud_sound_block	6	144	40	24.000000
hud_waypoint_arrow_block	15	1560	104	104.000000
hud_globals	1	1160	1364	1160.000000
single_animation_reference_block	129	2064	20	16.000000
user_interface_list_skin_definition	32	1920	88	60.000000
list_skin_reference_block	26	208	16	8.000000
window_pane_reference_block	87	6612	112	76.000000
local_string_id_list_string_reference_block	4	16	4	4.000000
local_string_id_list_section_reference_block	1	12	16	12.000000
user_interface_screen_widget_definition	74	8288	140	112.000000
user_interface_widget_reference_block	140	1120	16	8.000000
persistent_background_animation_block	8	128	20	16.000000
ui_error_block	267	6408	24	24.000000
ui_error_category_block	9	360	52	40.000000
skill_to_rank_mapping_block	50	200	4	4.000000
user_interface_shared_globals_definition	1	452	652	452.000000
user_interface_globals_definition	2	64	60	32.000000
button_widget_reference_block	53	3180	68	60.000000
list_reference_block	33	792	28	24.000000
text_block_reference_block	526	23144	44	44.000000
bitmap_block_reference_block	377	21112	64	56.000000
ui_object_reference_block	1	32	32	32.000000
ui_light_reference_block	1	32	32	32.000000
ui_model_scene_reference_block	1	76	84	76.000000
hud_block_reference_block	5	180	52	36.000000
player_block_reference_block	8	192	32	24.000000
screen_animation_keyframe_reference_block	299	5980	20	20.000000
background_animation_keyframe_reference_block	24	480	20	20.000000
animation_reference_block	59	2596	56	44.000000
unit_hud_reference_block	42	336	16	8.000000
unit_camera_track_block	90	720	16	8.000000
unit_postures_block	4	64	16	16.000000
unit_seat_block	105	18480	192	176.000000
unit_weapon_block	24	192	16	8.000000
powered_seat_block	15	120	8	8.000000
dialogue_variant_block	4	48	20	12.000000
contact_point_block	34	136	4	4.000000
biped	18	14184	988	788.000000
gear_block	10	680	68	68.000000
vehicle	26	19968	984	768.000000
object_function_block	81	2592	36	32.000000
object_attachment_block	220	5280	32	24.000000
object_widget_block	11	88	16	8.000000
object_change_color_initial_permutation	116	3712	32	32.000000
object_change_color_function	1	40	40	40.000000
object_change_colors	59	944	24	16.000000
object_ai_properties_block	44	704	16	16.000000
scenery	4	784	264	196.000000
crate	56	10752	260	192.000000
creature	1	384	480	384.000000
magazine_objects	7	84	20	12.000000
magazines	15	1380	128	92.000000
barrel_firing_effect_block	39	2028	100	52.000000
weapon_barrels	46	10856	256	236.000000
weapon_triggers	17	1088	80	64.000000
weapon_first_person_interface_block	48	768	32	16.000000
weapon	46	36616	1128	796.000000
brightness animation	4	32	12	8.000000
color animation	1	8	12	8.000000
lighting_variables_block	2	288	160	144.000000
light	61	13908	272	228.000000
chocolate_mountain	1	8	12	8.000000
predicted_bitmaps_block	54	432	16	8.000000
equipment	12	3792	436	316.000000
antenna_vertex_block	17	2176	128	128.000000
antenna	3	480	180	160.000000
projectile_material_response_block	153	13464	112	88.000000
projectile	34	14280	604	420.000000
device_machine	3	924	432	308.000000
damage_effect_player_response_block	134	10184	88	76.000000
damage_effect	120	24000	212	200.000000
sound_references_block	8250	132000	24	16.000000
dialogue	25	600	36	24.000000
garbage	1	468	580	468.000000
cloth_vertices_block	64	1280	20	20.000000
cloth_indices_block	382	768	2	2.010471
cloth_links_block	264	4224	16	16.000000
cloth	2	216	132	108.000000
classification	524	12576	44	24.000000
vertex_shader	95	3420	48	36.000000
aspect	11	308	36	28.000000
light_volume_runtime_offset_block	280	2240	8	8.000000
volume	19	2888	188	152.000000
light_volume	17	272	20	16.000000
core	2	112	76	56.000000
arc	1	236	276	236.000000
liquid	2	224	116	112.000000
reflection	54	2592	48	48.000000
lens_flare_scalar_animation_block	7	56	12	8.000000
lens_flare_color_animation_block	6	48	12	8.000000
lens_flare	51	5100	124	100.000000
cs_script_data_block	1	128	132	128.000000
